Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
44,2.0,0.0,0.0,232.0,4.0,55.0,1837.0,0.0,24.70500000000001,0.0,0.0,238.5284550189972,,,,,,,,,,,,,,,,,,,,,9.14048623317557,6.588661385478282,24.22649975693228,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,272.0,5.0,40.0,1877.0,0.0,27.605000000000015,0.0,0.0,241.7987356185913,,,,,,,,,,,,,,,,,,,,,9.901818061224024,9.12628551545085,27.23616344099204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,297.0,6.0,25.0,1902.0,0.0,8.306999999999993,0.0,0.0,243.7759211063385,,,,,,,,,,,,,,,,,,,,,1.8632002308937532,2.4606505462739383,8.268688682910566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,325.0,7.0,28.0,1930.0,0.0,18.80500000000001,0.0,0.0,246.06494522094727,,,,,,,,,,,,,,,,,,,,,6.6818197506942365,6.312136610559379,18.636545592573135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,347.0,8.0,22.0,1952.0,0.0,7.7059999999999995,0.0,0.0,247.8172369003296,,,,,,,,,,,,,,,,,,,,,1.776829283015793,2.3353231900840674,7.674584340113766,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,392.0,9.0,45.0,1997.0,0.0,27.408000000000023,0.0,0.0,251.10389733314514,,,,,,,,,,,,,,,,,,,,,8.709874920011927,9.053419052233416,27.043098727326797,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,414.0,10.0,22.0,2019.0,0.0,12.003999999999996,0.0,0.0,252.9248492717743,,,,,,,,,,,,,,,,,,,,,3.670779716663248,3.9949875622928586,11.935178024257667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,448.0,11.0,34.0,2053.0,0.0,20.106000000000016,0.0,0.0,255.72263050079346,,,,,,,,,,,,,,,,,,,,,6.382698675942925,6.632223404046433,19.908897142160107,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,473.0,12.0,25.0,2078.0,0.0,14.003999999999996,0.0,0.0,257.6307158470154,,,,,,,,,,,,,,,,,,,,,4.402354924158306,4.601239331815495,13.907848975871918,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,526.0,13.0,53.0,2131.0,0.0,38.90799999999999,0.0,0.0,261.50178027153015,,,,,,,,,,,,,,,,,,,,,14.691073068754763,12.622930757655164,38.16754066802402,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
